Tags (Positive),Tags (Negatives),Agg,Rank1,Rank2,Rank3,"Rationale (From the left, 1st = Static, 2nd = Baseline, 3rd = Simple, 4th = Elaborate)"
Clear metaphor,,median,simple,elaborate,baseline,"1st because it is clear that median is what it being measured. 2nd because the transition is a bit jarring and violent. 3rd because it isn't quite clear whether we are measuring median or average immediately. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely."
Clear metaphor,,median,simple,elaborate,baseline,"1st) gives a good idea of splitting the dataset into halves and then taking the average of the middle 2 elements.
2nd) same as above, but visually cluttered.
3rd) doesn't give an idea of taking average between two middle elements, but seems to just add a new element instead
4th) no correlation without inference"
,,median,simple,elaborate,baseline,"3rd and fourth tell me nothing about what they're showing without context.
I don't see much of a difference between 1st and second; what both of them are showing isn't super clear either."
,Embellished animation unnecessary,median,simple,elaborate,baseline,"Animation on 2nd rank was little too much. 
animation on 1st is simply enough to show that there are about equal number of points.

"
,Embellished animation unnecessary,median,simple,elaborate,baseline,"Close call between my 1st/2nd choice, but I personally thought the animation in my 2nd choice distracted a bit (perhaps this was from seeing the 1st choice animation in the 72 previous questions). For the 3rd vs 4th, the transition was a bit better, but it's still pretty hard to tell what either are doing."
,,median,simple,elaborate,baseline,"Having the colorings for less than median, more than median, and median really made visual calculations easier."
,,median,simple,elaborate,baseline,"How well the separation between the dots on either side of the median is shown. The first ranked animation does it effectively, the second one is slightly less effective due to the sudden speedup when dividing the data, and the 3rd and 4th ones don't show the separation well enough."
,,median,simple,elaborate,baseline,"I like that the one I ranked 1st marked the median before transitioning, so I could see that there were equal numbers of points above and below that point. The 2nd ranked one did a similar thing, although it was more complicated. The 3rd and the 4th make it harder to see that the median has the same number of points above and below it."
,,median,simple,elaborate,baseline,I liked the identification of the spliting into halves by color and showing where the median lies.
,Animation Should Be Faster,median,simple,elaborate,baseline,"I thought seeing the two parts was useful, but the 2nd place one goes too fast at the middle"
,Animation Should Be Faster,median,simple,elaborate,baseline,"I thought the second and first ranked transitions were both good, but the second ranked was a little fast/ had too much going on. The third one was ok, but there is no explanation for why those two dots replaced all the previous dots. The fourth one had no transition so it seemed there was no relationship between the first and second chart."
,,median,simple,elaborate,baseline,Need some transition but having too much makes it confusing as to what is going on exactly.
,,median,simple,elaborate,baseline,Separating the dots into upper and lower halves is very useful for showing median
,,median,simple,elaborate,baseline,Showing the groups above and below is by far the best way to visualize median.
,,median,simple,elaborate,baseline,"Splitting the points into those above and below the median was helpful. Iterating through each pair was more confusing, but got the idea across better than the fade or abrupt change."
,Couldn't Follow Complex Animations,median,simple,elaborate,baseline,"The 3rd one was slightly hard to follow. The 1st one was nice because we slit the data set and it's colored so we know which data belongs to which point. This time, the line was nicer because it's emphasized that this point is the mid point."
,Animation Should Be Slower,median,simple,elaborate,baseline,The colors and dividing bar make it clear what is happening (that half the values are on each side). The difference between 1st and 2nd is that 2nd is too long.
,,median,simple,elaborate,baseline,The colors made it really nice to understand 50% above and 50% below
,,median,simple,elaborate,baseline,The colors make it differentiate the middle point. My first choice has a cleaner animation.
Understandable,,median,simple,elaborate,baseline,"The colors were incredible helpful. Of the two colored ones, the simpler one was easier to understand at a glance."
,Couldn't Follow Complex Animations,median,simple,elaborate,baseline,"The first one, you could see the different colors split between the first half and the second half, which I thought was really cool and easy to distinguish. The second one was kind of similar but it was little overwhelming with all the transitions, but again, the colors helped. The third one, I wasn't quite sure what was being distilled down into if I didn't know that it was describing median, and the fourth one was just too fast."
,Embellished animation unnecessary,median,simple,elaborate,baseline,"The third transition is the best for me because it showcased what the median is, highlighted which elements were higher and lower than that median, than erased all other elements. The last transition did all of these things, but also added a step animation, which I thought was excessive for explaining what the median was, so it is second. The second transition never showed what the median is, it just merged the points to that median, so it is third. The fourth transition was only a static transition with no animations, which did not aid in describing what the median was, so it is last."
,Couldn't Follow Complex Animations,median,simple,elaborate,baseline,"While the 1st and 2nd ranked were both easy-to-read transitions, the 1st ranked was less distracting"
,,median,simple,elaborate,baseline,You need to be able to see whether or not the transition goes to points in the data set (or equally between two points for a set with even size)
,Couldn't Follow Complex Animations,stdev,simple,elaborate,baseline,"1st: simple animation with some eyecandy. Better than 2nd because the 2nd is quite distracting - however, it explains the idea of standard deviation moderately well though. 3d is better than 4th because it allows some comparison between data points and the stdev while it's crossfading."
,Measure Was Too Confusing,stdev,simple,elaborate,baseline,"I don't really know what standard deviation is, but I think that the animations that show average first and some computation for the deviation next show that the are separate stats and show how they are computed more easily."
,,stdev,simple,elaborate,baseline,"I found the distance from the average to be less helpful for this visualization, so I picked the gradual one first, followed by the histogram-like viz, and then the fading and abrupt versions."
,,stdev,simple,elaborate,baseline,I like 1st one better because it's simpler and better shows that standard deviation is a positive number and symmetric on both side.
,,stdev,simple,elaborate,baseline,"I like that you see each part, but I like the simplicity of the one I ranked first"
,,stdev,simple,elaborate,baseline,"I liked showing the average then expanding up and then down, 2nd the extra animation I wasn't sure what to get from the extra lines in the animation so it seemed just extra."
,Embellished animation unnecessary,stdev,simple,elaborate,baseline,I liked the first one because you could see how the data points distilled into one another while not being too overwhelming. I liked the second one too but I thought it had too much information. The third and fourth graphs were too fast to realize what was going on.
,Embellished animation unnecessary,stdev,simple,elaborate,baseline,I think the 1st one's animation allowed me to see how the standard deviation was determined and what the average was 2nd one got a little messy with the barred animation
,,stdev,simple,elaborate,baseline,"I thought that the standard deviations come out of nowhere everytime, so I didn't really like any of them"
,,stdev,simple,elaborate,baseline,I thought the animations for the first and second choice were super cool
,Metaphor Unclear,stdev,simple,elaborate,baseline,It is kind of hard to tell that statistic showing is the standard deviation. The last two transitions do not really serve a different purpose. There needs to be a way to show std. dev. easier.
,Metaphor Unclear,stdev,simple,elaborate,baseline,"None of these are particularly good at showing one standard deviation because none of them show how the standard deviation is computed or what the grey bar actually means (not that I know of a good way to show this, I find standard deviation to be a very hard thing to visualize).  Of these options, it is essential to show the grey area on either side of the line as equal size indicating one standard deviation from the mean."
,Couldn't Follow Complex Animations,stdev,simple,elaborate,baseline,The 1st ranked one was clearer than the 3rd and 4th while the 2nd was a bit too distracting
,,stdev,simple,elaborate,baseline,The animation of points moving together tells me its an average. The 1st ranked one is simpler than 2nd or 3rd.
,,stdev,simple,elaborate,baseline,the animation of the 3rd and 4th chart makes the transition make more sense
,,stdev,simple,elaborate,baseline,The lines in the second place one are much less obvious to me here - bu the mirroring of the std makes it obvious that it isn't inner quartile range
,,sum,simple,elaborate,baseline,"I feel like the third one give me a feeling that they have connection to each other, which eventually will sum up"
,,sum,simple,elaborate,baseline,I thought that the visualization of the axis changing helped but the 2nd place one was a bit too much to look at
,,sum,simple,elaborate,baseline,The vertical line when the data points were aggregating hinted at a sum.
,,count,simple,elaborate,static,Aligning all dots together and show the transition so we can visualize
,,count,simple,elaborate,static,clarity of equidistance in stacking. lack of animation is hard to see
,,count,simple,elaborate,static,How much it hints about treating each dot as one in transition
,,count,simple,elaborate,static,I like how they listed every dot in same size intervals
,,count,simple,elaborate,static,"My 3rd/4th choices use transitions that would make the user incorrectly associate what count is supposed to mean. Of the 1st/2nd, I preferred the smoother transition because the jerky motion could imply things that aren't part of the data."
,,count,simple,elaborate,static,Same  distance is a good visual cue for knowing it is being counted
Clear metaphor,,count,simple,elaborate,static,Seeing the dots stack up makes the most sense with counting the number of data points. The transition to the single dot is the least effective since it seems like we are using the data point's values to calculate the count.
,,count,simple,elaborate,static,"Smooth transitions help a lot, but removing the axis entirely and putting it back in is confusing"
Clear metaphor,,count,simple,elaborate,static,the first and second make it way more obvious what is going on by actually doing the count
Clear metaphor,,count,simple,elaborate,static,The short display of the data points on the new y-axis made it clear that the viz was showing count.
,,count,simple,elaborate,static,"The smoothness of the transition to see the points not combined due to their value, but equally spread out to see the number of points."
,,count,simple,elaborate,static,The smoothness of the transition was the difference between the first one and second. How the data points remained on the screen made it easy to understand that it was doing a count.
Clear metaphor,Embellished animation unnecessary,count,simple,elaborate,static,"The third one is really clear since it first ""stack"" all the points. The fourth one is similar to the third one, but has some useless and meaningless animation. The second chart's transition looked good, but meaningless, which made it worse than having no transition (which is the first chart)"
,,count,simple,elaborate,static,"The way the transition order my first choice makes the most sense since it's just getting a count for the data point. my 2nd choice is doing a similar thing but the animation is a little cranky. My third choice directly shows the result without any transition in between, which i think it's better than the misleading transition that my 4th choice gives."
,,count,simple,elaborate,static,Tracking of the data points through the transition made it easiest to see what the transformation was showing.
,Embellished animation unnecessary,iqr,simple,elaborate,static,"2nd has too much going on, 4th looks arbitrary, 1st is animated and not too complex, 3rd without animation is tough to track"
,,iqr,simple,elaborate,static,"I felt that the colors were helpful in showing the count, so the bar chart animation was unnecessary (which made it my second choice)."
,,iqr,simple,elaborate,static,"I like the simplicity of the one I ranked first, while it is still clear what it is showing"
,,iqr,simple,elaborate,static,I liked the different colors in the first and second choice.
Clear metaphor,Animation Should Be Slower,iqr,simple,elaborate,static,"The fade-out is once again slow and adds nothing. The color-coding is useful, although I don't think the slower version where they sort themselves adds much value. It's easy enough to get the idea from the distribution of the colors."
,Embellished animation unnecessary,median,simple,elaborate,static,"1st: simple idea. don't need too much animation to split it into two groups. 2nd: good for explaining what a median is. If already familiar with the idea this one is just visual candy that could potentially be distracting. 3rd is pretty typical but ranks above the 4th because the 4th animation is actively distracting, especially if one distribution has an even number of data points while the other is odd."
,,median,simple,elaborate,static,Giving two colors for the dots separated by the median is very useful in visualizing.
,,median,simple,elaborate,static,"It's nice to see things collapsing, but 2nd has too much stuff going on in my opinion"
,Metaphor Unclear,stdev,simple,elaborate,static,"To be very honest, I don't quite understand how those graphs can assimilate a standard deviation."
,,sum,simple,elaborate,static,I like the transformation of getting the answer to the sum
,Animation Should Be Slower,max,simple,static,baseline,"3rd place chart was too slow, 1st place chart clearly showed the points of interest before removing the other points."
,,max,simple,static,baseline,Marking the maximum dot makes it easier to notice where the maximum is at
Clear metaphor,Animation Should Be Slower,max,simple,static,baseline,"Showing the line as a new feature draws your eye to the maximum before getting rid of the data which makes it first place. Second place is obvious immediately what has happened, but you don't get a moment to see the data with the maximum highlighted. Third place is confusing since the fade out is so long, that you don't really understand the significance of the dots that aren't fading until all other dots have faded completely."
,,max,simple,static,baseline,The fast transition and the line through the max both highlighted the points that were to remain.
,,max,simple,static,baseline,The first place is much more clear than the other ones
,,max,simple,static,baseline,The second one was really slow where the others were fast and clear
,,median,simple,static,baseline,"I like the segmenting of the values into the median and those above and below, along with the smooth transition into the median"
,,min,simple,static,baseline,"Akin to max, highlighting the points that are to remain was very helpful"
Clear metaphor,Animation Should Be Slower,min,simple,static,baseline,"As with the previous question, 1st makes the most sense since it draws attention to the minimum before the fade out transition. 2nd makes it apparent immediately what has happened. 3rd is confusing as the fade out is so long that you just think all data points are fading until it is done and you realize two haven't faded."
Understandable,Animation Should Be Slower,min,simple,static,baseline,"Compared to the the maximum charts, I now see the point of the lines in the 1st ranked distinction: it makes it obvious which points are the smallest ones. The second one and third one I thought were almost equally good, I just didn't like how slow the transition was on the 3rd ranked transition."
,,min,simple,static,baseline,Marking the minimum dot makes it easier to notice where the minimum is at
,,min,simple,static,baseline,Same as what I said for the previous max one
,,min,simple,static,baseline,Same reasons for this ranking as for the previous question
,,min,simple,static,baseline,The 1st place graph is much more clear than the other two
,,count,simple,static,elaborate,"the transition was easy to follow, the line makes sense"
,,avg,baseline,elaborate,simple,The same reason as the previous question. It just came more intuitive to me.
,,stdev,baseline,elaborate,simple,1st is actually my favorite since it shows both sides of s.d. at once and I think the fade is sufficient to show transition. 2nd is good although I think it would be better to display both sides of s.d. at once. 3rd is confusing when the data points merge into one. 4th is simply too abrupt to catch.
,,stdev,baseline,elaborate,simple,Being able to see the data and the bar helps
,Metaphor Unclear,stdev,baseline,elaborate,simple,"I like how the 1st animation shows me both sides of the deviation in a single transition. The 2nd and 3rd transitions make me feel as though the data only affects one side of the deviation, which I know is not true. I chose the 2nd over the 3rd because I felt the step transition made me feel this was less true and that data did contribute to the second half of the deviation. I needed to replay the 4th graph multiple times to understand how it related to the data, which I do not think is very helpful."
,,stdev,baseline,elaborate,simple,It is easier to believe it is one standard deviation from the second graph
,,sum,baseline,elaborate,simple,"1st is actually my favorite because merging data points imply to me as a sum operation. 2nd is good as well, since it shows all the data points individually before merging - but what if there are too many data points to list each individually? 3rd's animation doesn't really convey any meaning, in my opinion, rather than serving as a transition for the change of scale for the y-axis. 4th is simply a switch of charts."
Clear metaphor,,sum,baseline,elaborate,simple,I like the 1st one because it seems to be merging the values which is how I usually visualize the summation. The second one is easy to understand but why it splits into the different sections is a little bit confusing. Having a bad merging animation in 3 is better than no animation in 4.
,,sum,baseline,elaborate,simple,The diagonal in the fourth transition added an extra confusing element. The second one was elegant
,,sum,baseline,elaborate,simple,The motion of the dots led me to decide this order
,,sum,baseline,elaborate,simple,The one i rated 1st looks like it is summing everything up and combining things
Clear metaphor,,sum,baseline,elaborate,simple,"The one that I ranked 1st was the only one where the value seemed to increase intuitively. Somehow, the lines on the 2nd and 3rd ranked ones made it seem like the overall value was going down, until you look at the scale. The one I ranked 4th didn't help at all - you would have to look at the number values to guess that it was showing a sum."
Clear metaphor,,median,baseline,elaborate,static,The same reason as the previous question. It just came more intuitive to me.
,,avg,baseline,simple,elaborate,Focus if the transition effectively explains how can we get the average of all the datapoints
,Embellished Animation unnecessary,avg,baseline,simple,elaborate,I liked 1st because all the values go into the middle which imply that we are focusing on the mean and I didn't like the line in 2nd because it feels like they just include the line at a random spot. 3rd transition is too fancy and distracting.
,Embellished Animation unnecessary,avg,baseline,simple,elaborate,I prefer the simple animation that just shows the points coming together as if they are being averaged. The extraneous bars and movement are distracting.
,,avg,baseline,simple,elaborate,"I thought the lines to the middle were confusing & unnecessary, but I liked the transition/moving effect"
Understandable,Embellished Animation unnecessary,avg,baseline,simple,elaborate,"The 1st graph shows how the data points contribute to the average in the most straightforward way. I do not like the addition of the line in the 2nd--as I stated before I think it can be misleading due to how common error bars are. The 3rd graph has too many unneeded step transitions. The 4th graph is too much a large change and does not show me how the data points relate to the average, causing me to replay the animation multiple times."
,Embellished Animation unnecessary,avg,baseline,simple,elaborate,Too much going on in 3rd animation. 1st animation was simple. I like simplicity.
,,count,baseline,simple,elaborate,The 1st one had a nicer transition so I was able to follow the data points.
,Couldn't Follow Complex Animations,iqr,baseline,simple,elaborate,2nd and 3rd have a lot of colors on the data points but I'm not sure how they represent the range. 4th one didn't have any transition so it is confusing.
,Embellished Animation unnecessary,iqr,baseline,simple,elaborate,i like that its quick and simple. 4 colors is a little complicated
,Couldn't Follow Complex Animations,median,baseline,simple,elaborate,I like the 1st choice because it shows clearly that it is focusing on the median. For 2nd and 3rd they are kind of distracting with the colors and transitions. 4th did not have a transition at all.
,Couldn't Follow Complex Animations,stdev,baseline,simple,elaborate,I only understood the 2nd one. I have no idea what the others are doing.
,,stdev,baseline,simple,elaborate,"No animation is bad
The first place animation is clear
The second place one is weird because it starts with only 1 standard deviation
The third place one is too similar to the previous average animation; I can't really discern between the two"
,,stdev,baseline,simple,elaborate,"The top ranked one kept the points in place, which made it easier to see what the line and shaded area meant. The next two collapsed the points, so it was harder to understand."
,Embellished Animation unnecessary,sum,baseline,simple,elaborate,"1st and 2nd have a smooth transition which demonstrate that the sum is being calculated by adding all the values together. However, 3rd has a transition which is too fancy and could distract the reader and 4th just did not have any transition which the reader doesn't know what it is."
,Couldn't Follow Complex Animations,sum,baseline,simple,elaborate,"animation makes the transition clearer, but the animation of 3rd and 4th chart is confusing"
,,sum,baseline,simple,elaborate,"i like that it aggregates together, like its being added together"
,Embellished Animation unnecessary,sum,baseline,simple,elaborate,"I think that the second one is the simplest and most intuitive, the one on the far right is too much animation and the first one is too static."
,,sum,baseline,simple,elaborate,"I was pretty torn between 1-3 they were pretty similar, I liked the changing of the scale."
,Couldn't Follow Complex Animations,sum,baseline,simple,elaborate,The 1st place one was not distracting which helped to focus my attention on the y axis. The next two did something similar but I felt that they were too distracting and hindered my ability to see the transformation.
,,sum,baseline,simple,elaborate,"The meaning of the animations. In the second one, I could perceive that aggregation since the data points were being added into themselves. The change of axis conveyed to me the meaning of it, since if the values are increasing, it's probably because summation is happening."
Clear metaphor,,sum,baseline,simple,elaborate,The one I chose 1st had the collapsing transition which made it obvious to me that it was summing up the numbers. The bar graph for the one ranked 3rd had a lot going on.
,Metaphor Unclear,avg,baseline,simple,static,"Giving the distance of each dot to the mean does not help visualizing the average, while simply merging them to the average feels more natural"
,,max,baseline,simple,static,1st and 2nd were pretty equivalent. 3rd was fine but was visually uninspiring.
,,max,baseline,simple,static,1st one had simple animation that allowed me to see right away the max of a data set.
,,max,baseline,simple,static,"1st rank: simple ideas always good. 2nd rank: animation is better than none especially when maximum seems easy to distinguish already. evokes the idea of a ""cap"" to the data."
,Animation Should Be Slower,max,baseline,simple,static,Highlighting the top dots without adding unnecessary transition to wait
,Embellished Animation unnecessary,max,baseline,simple,static,How clear that the maximum was being shown. The right one was sort of distracting with the lines coming out.
,,max,baseline,simple,static,I like how it faded to get the maximum because I can tell how they got it
,,max,baseline,simple,static,I liked how the dots faded away so that you can see how the point left behind relates to the rest of the data
,Metaphor Unclear,max,baseline,simple,static,I think the bar on the 2nd is not so intuitive since all the audience know there are only 2 dots left. The 1st is good with the transitions since the audience could understand that why the other dots just disappeared.
,Embellished Animation unnecessary,max,baseline,simple,static,I thought the lines were unnecessary but I liked the fading dots
,Embellished Animation unnecessary,max,baseline,simple,static,"It was clear which point was the maximum, and focus was drawn well. I didn't think the line was necessary."
,,max,baseline,simple,static,More deliberate ways to show that we were only looking a one element in a set rather than some aggregation.
Clear Metaphor,,max,baseline,simple,static,"The 1st clearly shows that you only care about the largest element. The 2nd is similar, but I didn't understand the purpose of the line that appears through the max element. The 3rd is fine, but the sudden change might be harder to follow."
Clear Metaphor,,max,baseline,simple,static,The 1st rank just fades away the other points making it clear that we only care about the final displayed point.
,Metaphor Unclear,max,baseline,simple,static,The animation in 2nd and third provide me with an interpretation interval. I just don't see the point of having a line across the max point in the 3rd one.
,Embellished Animation unnecessary,max,baseline,simple,static,The extra line isn’t helpful in the third transition. The second is elegant
Clear metaphor,,max,baseline,simple,static,the middle graph gradually whites out the other data points which intuitively agrees with how my brain functions to pick the max.
,Embellished Animation unnecessary,max,baseline,simple,static,"The second chart is the best since the points irrelevant to the maximum gradually fades and disappears. The third chart's has some additional useless transition, which is somewhat better than the first one."
,Embellished Animation unnecessary,max,baseline,simple,static,The smooth ones were better.  The one with the lines sticking out seemed unnecessary
,,max,baseline,simple,static,The transitions. The smoother the easier to see. I felt like the middle one is cleaner. That's why I ranked it NO_1
,,max,baseline,simple,static,There are no motions of the dots but the dots themselves show things clearly
,,min,baseline,simple,static,1st and 2nd were practically equivalent and both demonstrated selecting the max by phasing out the others. 3rd was visually uninspiring.
,Embellished Animation unnecessary,min,baseline,simple,static,"Again, I thought the lines were unnecessary but I liked the fading"
,Metaphor Unclear,min,baseline,simple,static,"Exact same rationale as the max one (3rd is jerky, 2nd has an (unneeded?) line, 1st clearly shows the operation)."
,,min,baseline,simple,static,focusing on the bottom most dot but with some small transitions
,,min,baseline,simple,static,"For the same reason as the maximum transitions, the second is best"
,Embellished Animation unnecessary,min,baseline,simple,static,I don't prefer the lines in 2nd choice because it seems a little messy. The 1st one is a nice smooth transition.
Clear metaphor,,min,baseline,simple,static,I like how it faded to get the minimum because I can tell if it is right
,,min,baseline,simple,static,I liked being able to see the dots fade away so that you could tell how the remaining dot corresponded to all of the data.
,,min,baseline,simple,static,I would use the same argument as the max. The smoother the transition the better.
,,min,baseline,simple,static,More deliberate ways to show that we are looking at a single element in a set.
,,min,baseline,simple,static,"Same as maximum, the fade away of non minimum points highlighted the min."
,,min,baseline,simple,static,"Same as with maximum. Simple animation > any clear and concise animation > no animation, but all are pretty good for minimum because it's a simple idea."
,,min,baseline,simple,static,"Similar to the max graph comparison. In this case, it's very easy to get the minimum but it's just a matter if the transition looks comfortable visually."
,,min,baseline,simple,static,The 1st ranked transition fades away the non-min elements which helps pinpoint which ones we care about.
,Embellished Animation unnecessary,min,baseline,simple,static,"The same as the previous one. The second chart's transition fades out irrelevant information, the third chart has meaningless transition, but still better than the first one."
,Embellished Animation unnecessary,min,baseline,simple,static,The smooth ones were better than the abrupt one but the lines sticking out of one of them seemed unnecessary
,Animation Should Be Slower,min,baseline,simple,static,This has the same reason as the last question with max. I think 1st should have a faster transition. 3rd is not so intuitive since we don't know why the other points were gone. There should be a visual experience when the dots are leaving.
,Embellished Animation unnecessary,stdev,baseline,simple,static,Movement doesn't really seem necessary for this one -- just makes it harder to follow
,Couldn't Follow Complex Animations,sum,baseline,simple,static,"I liked 1 because you could see all the data points coming together (being summed) into one, which was self-explanatory. I didn't like 4 because there was too much graphics/info coming"
,Embellished Animation unnecessary,count,baseline,static,elaborate,"I think count is a very simple mathematical concept that most people are aware of, simple transition like the 1st one I pick is enough to show, too much animation is kind of redundant."
,,sum,baseline,static,elaborate,There is a change in the axis involved so the transition does not really help with the sum
,Animation Should Be Slower,avg,baseline,static,simple,The first one is not enough animation and the last two take too long
,,count,baseline,static,simple,everything looks good actually. I especially like the second one bcause of the motion of the dots.
,"Animation Should Be Faster, Metaphor Unclear",count,baseline,static,simple,"I like the smooth transition from the data in the graph I ranked 1st. The graph I ranked 2nd was not as easily to follow due to the abrupt change. The 3rd and 4th graph seemed misleading to me, as it seems like all the data points from the original graph (before the transition) somehow had to do something with the count, which is simply an aggregation. I picked the 3rd over the 4th because I think the 4th had too many unnecessary step transitions."
,Embellished Animation unnecessary,count,baseline,static,simple,The ones I ranked 3rd and 4th seemed unnecessary and detracted from understanding the information
,,iqr,baseline,static,simple,The coloring was the biggest thing; having the 3 groupings helped me discern the quartiles directly. Splitting up the transitions made it harder to follow.
,Metaphor Unclear,max,baseline,static,simple,"I like how the data points not relating to maximum dissipate on the 1st graph, compared to the 2nd graph which is an immediate transition my eyes took a little longer to adjust to. I felt the line shown in the 3rd graph misleading, as lines in plotted graphs such as these usually indicate some sort of error in the data."
,Embellished Animation unnecessary,max,baseline,static,simple,"Reference lines don't really help in this case, but it does help to fade out the points so that I know how the maximum was in relation to the other points gradually."
,Animation unnecessary,max,baseline,static,simple,They don’t make much difference because max is easy to see
,Animation Should Be Faster,max,baseline,static,simple,"you could see the other dots disappear and leaving the only one on the top made it intuitive to describe maximum. The graph ranked second was a little too fast and the graph ranked 3rd, I felt like the line going through it was not necessary"
,,min,baseline,static,simple,"Having the fade helps compare the ultimate minimum to other surrounding points, but reference lines just make it harder to see."
,Metaphor Unclear,min,baseline,static,simple,I like how the 1st graph highlights the minimum by leaving it in place while the other data points disappear. I again felt the lines shown on the 3rd graph to be misleading and should be reserved for error bars.
,,min,baseline,static,simple,"Same as max, actually the fade out is sort of helpful"
,,min,baseline,static,simple,This is similar to the last question in that I got to see what exactly was disappearing in a good time period and you didn't see any of the axis changing.
,,stdev,baseline,static,simple,Having the standard deviation overlay a second with the original dots makes the standard deviation more clear as it shows how much dots it covers. The other transitions are not very helpful
,Couldn't Follow Complex Animations,stdev,baseline,static,simple,I think it's very hard to visualize the calculation of std so all the transitions attempt to do so makes the graph more confusing.
,Animation Should Be Slower,stdev,baseline,static,simple,I think that the delay between the top and bottom half coming in on the two rightmost animations is too slow.
,Couldn't Follow Complex Animations,stdev,baseline,static,simple,The last two transitions are too confusing and don’t show very much helpful info
,Metaphor Unclear,stdev,baseline,static,simple,"The way the 3rd and 4th charts show one side of the standard deviation before mirroring it across the y-axis doesn't feel like a correct choice for showing the standard deviation. Having the animation in the 1st ranked chart makes it easier to see that the marks are actually at the average, and having both sides of the standard deviation showing in the 2nd ranked chart is better than the 3rd and 4th ranked ones showing one side at a time."
,Embellished animation unnecessary,sum,baseline,static,simple,"Again, the fancy transitions for my 3rd and 4th pick made it feel like I wasn't looking at a transition for Sum."
,,sum,baseline,static,simple,"Same as before, the last two simply detract from the information that is put forward"
Understandable,,avg,elaborate,baseline,simple,1st rank: visually shows what an average is. I think this is the best if someone's unclear exactly what an average is. If you're already familiar with the idea then the 2nd rank is best: short and simple. 3rd rank is quite similar to the second except with extra animation that gets annoying. 4th rank jumps directly to the end and is quite disorienting.
,,avg,elaborate,baseline,simple,"Again, no animation is bad.
The 1st place animation is great for seeing how sums come together to make an average.
The 2nd and 3rd place animation is unclear as to whether it means median or mean"
,,avg,elaborate,baseline,simple,Knowing that every value is accounted for in the average.
Clear Metaphor,Animation Should Be Slower,avg,elaborate,baseline,simple,The bars on the transition marked first give the sense that there is an equal amount on either side of the line making it clearly best.  The line on the transition marked third makes it very unclear whether the measure being taken is average or median since the line disappears very quickly.
Understandable,,median,elaborate,baseline,simple,"I like the 4th one from the left the most because it shows how the median is calculated, which mean the user can better ""trust"" the result. I don't get how the 3rd one from the left is relevant to median.  "
,,sum,elaborate,baseline,simple,"1st could be improved by showing a stacking, but it gives an idea of summing the values of each element, where 3rd seems to simply squish them. 2nd they move up, and it's not the most intuitive, but the trend gives a hint as to sum. 4th had no intuition involved."
Clear Metaphor,,sum,elaborate,baseline,simple,"Clarity of combining all the elements together based on their value, and seeing the line for each point was helpful"
,,sum,elaborate,baseline,simple,"How well the transition showed the data points merging together into the final value. The only real difficulty was between 2 and 3 - overall, 3 felt a little more odd than 2 for depicting sum."
,,sum,elaborate,baseline,simple,Seeing the relative value each data point contributed before summing was nice.
Easy to Follow,,sum,elaborate,baseline,simple,"The 1st place on is easy to follow with the lines.
The second place one naturally combines the values with a smooth animation.
The third one adds a weird line; I don't see how it benefits compared to the second one (which is the animation without the line).
The 4th place one is too difficult to keep track of because it's instant."
Easy to Follow,,sum,elaborate,baseline,simple,The animation helped me track the data points through the transition
Understandable,,sum,elaborate,baseline,simple,"The lines in the transition ranked first give the viewer a sense of adding each value together to get the sum, making it the best transition.  None of the others convey that sense and the animations don't convey much other than changing graphs."
Clear Metaphor,,sum,elaborate,baseline,simple,"The one ranked 1st is my favorite because we can see the lines stacking on top of each other which clearly suggests addition, 2nd one shows combining which also implies addition. I'm not sure what is happening in the 3rd one, but the transition shows a relation between the first and second chart while the 4th one dosn't have any transition which makes it hard to tell there is a relationship between the two graphs/"
,,sum,elaborate,baseline,simple,The use of animations to convey the concept of individual elements being added together
,,iqr,elaborate,baseline,static,The 1st place graph is much more clear than the other ones mostly because of colir
,,median,elaborate,baseline,static,The 1st place graph is much more clear than the others because of the colors
,,stdev,elaborate,baseline,static,Finding the distance among all dots relative to each other and then finding the middle point
Understandable,,stdev,elaborate,baseline,static,"The first place one made the most sense to me, the third didn't."
Clear Metaphor,,avg,elaborate,simple,baseline,1st makes the most sense since it shows a visual representation of the mathematical operation. 2nd make the next most sense since it shows the average as a point of attention before collapsing. 3rd is next because we understand with the transition that there is *some* operation on the numbers occurring. 4th is last because it is just a hard transition and we aren't sure exactly what is going on.
,More complicated = better,avg,elaborate,simple,baseline,1st one I choose shows the quantity of each data point visually and compare the average between others before collapse. And others are just less complicated versions. I like more feather packed animations.
Clear Metaphor,,avg,elaborate,simple,baseline,"1st) Horizontal mark gives an idea of average separate from any element. The delta between that and each element gives an idea of equilibrium on either side.
2nd)  transition is smooth, the horizontal mark gives an idea of average separate from any value. Elements are not being combined, but converge to an average.
3rd) good, but values seem to be combined in some operation
4th) no connection between first and second frames without inference."
,Animation Should Be Slower,avg,elaborate,simple,baseline,"4th is still abrupt and the resulting meaning of the transition is unclear. 3rd is better than 4th but the resulting meaning could be confusing. To me this animation seems more like a sum animation than an average animation. 2nd is better but I think it could also be confused with median. 1st is the best because it shows the values on either side of the average, although I would like it if the bars stayed for slightly longer."
,,avg,elaborate,simple,baseline,Being able to see all the differences among the points lower and higher than the average was helpful. Getting to see the numbers gather towards the center was second best.
