id,animAgg,textAgg,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
49,sum,count,FALSE,1,0,3722,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
5,max,max,FALSE,2,1,6795,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
50,iqr,iqr,TRUE,2,1,6904,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
51,stdev,iqr,TRUE,2,1,6920,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
52,avg,median,TRUE,2,1,9643,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
53,median,avg,TRUE,3,2,13390,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
54,sum,max,FALSE,1,0,3933,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
55,avg,median,TRUE,2,1,6537,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
56,median,median,FALSE,1,0,4126,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
57,sum,sum,FALSE,3,2,10329,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
58,min,min,FALSE,1,0,4362,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
59,median,avg,FALSE,2,1,8123,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
6,iqr,iqr,TRUE,4,3,31657,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
60,max,sum,FALSE,1,0,3670,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
61,iqr,stdev,TRUE,2,1,7491,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
62,iqr,iqr,TRUE,2,1,6781,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
63,max,max,FALSE,1,0,4511,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
64,count,count,FALSE,1,0,3519,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
65,sum,count,FALSE,1,0,3641,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
66,stdev,stdev,FALSE,2,1,7793,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
67,max,count,FALSE,1,0,3586,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
68,avg,avg,FALSE,2,1,6529,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
69,count,max,FALSE,1,0,3463,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
7,max,count,FALSE,2,1,6531,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
70,count,sum,FALSE,1,0,3181,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
71,stdev,iqr,FALSE,1,0,4666,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
8,iqr,stdev,FALSE,3,2,46985,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
9,avg,avg,FALSE,2,1,8990,Female,"Some college, no degree",18-24,no,,Know well,The sum of a set of numbers 1 through n divided by n.,IDK,,Know well,"Given a data set, the number for which 50% of the data is greater than and 50% is less than.",Know,How far other values in the data set differ from the computed average.,5,< 1/m,< 1/w,< 1/m,E3OMvCw7aSTiF6tIvzhr7VSdJSZ2,baseline
0,iqr,iqr,FALSE,1,0,9383,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
1,avg,median,FALSE,2,2,12737,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
10,max,sum,FALSE,1,0,9548,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
11,stdev,stdev,FALSE,2,1,7992,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
12,avg,avg,TRUE,2,2,9551,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
13,count,sum,FALSE,1,0,4964,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
14,stdev,iqr,FALSE,1,1,9668,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
15,max,count,FALSE,1,0,7608,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
16,median,median,FALSE,3,2,12168,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
17,count,max,FALSE,1,0,5156,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
18,median,avg,TRUE,3,2,14180,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
19,stdev,iqr,FALSE,2,1,6641,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
2,median,avg,FALSE,2,1,9321,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
20,median,median,TRUE,3,2,9336,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
21,avg,median,TRUE,3,2,9870,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
22,sum,count,FALSE,1,0,4136,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
23,avg,avg,FALSE,4,3,13415,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
24,sum,sum,FALSE,2,1,10108,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
25,max,sum,FALSE,1,0,7702,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
26,max,max,FALSE,1,0,3709,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
27,max,count,FALSE,1,0,5531,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
28,count,sum,FALSE,1,0,3760,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
29,min,min,FALSE,2,1,6267,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
3,sum,count,FALSE,1,0,11713,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
30,count,max,FALSE,2,1,8209,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
31,count,count,FALSE,3,2,11510,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
32,sum,max,FALSE,1,0,4106,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
33,stdev,stdev,FALSE,2,1,8991,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
34,iqr,iqr,TRUE,2,1,7181,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
35,iqr,stdev,TRUE,2,1,7948,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
36,count,max,FALSE,1,0,4408,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
37,median,median,TRUE,2,1,9899,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
38,count,sum,FALSE,1,0,6099,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
39,max,max,FALSE,1,0,3571,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
4,count,count,FALSE,1,0,7152,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
40,stdev,stdev,FALSE,1,0,3326,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
41,count,count,FALSE,1,0,3680,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
42,sum,sum,FALSE,1,0,3734,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
43,min,min,FALSE,1,0,3324,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
44,stdev,iqr,FALSE,2,1,12032,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
45,median,avg,TRUE,2,1,6793,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
46,avg,median,FALSE,3,3,16505,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
47,max,count,FALSE,1,0,5055,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
48,sum,count,FALSE,1,0,4748,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
49,iqr,iqr,TRUE,1,0,3858,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
5,sum,max,FALSE,1,0,4500,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
50,max,sum,FALSE,1,0,4648,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
51,iqr,stdev,FALSE,2,1,7370,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
52,avg,avg,FALSE,2,2,10966,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
53,sum,max,FALSE,1,0,9941,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
54,stdev,stdev,FALSE,1,0,4040,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
55,count,count,FALSE,3,2,12744,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
56,count,max,FALSE,1,0,7759,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
57,min,min,FALSE,1,0,4268,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
58,max,sum,FALSE,1,0,3262,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
59,avg,median,FALSE,2,2,7744,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
6,max,max,FALSE,1,0,4291,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
60,iqr,stdev,TRUE,2,1,7797,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
61,max,count,FALSE,1,0,3585,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
62,avg,avg,FALSE,2,2,8624,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
63,stdev,iqr,FALSE,1,0,4202,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
64,iqr,iqr,TRUE,1,0,4595,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
65,median,median,FALSE,2,1,5691,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
66,sum,sum,FALSE,2,1,11805,Male,High school graduate (or equivalent),18-24,no,,Know well,sum of set divided by size of set,IDK,,Know well,sort the numbers then find the number in the middle,IDK,,4,< 1/m,< 1/d,< 1/m,E9g6RZMB7whJH5FbH3DMr8T4sF33,baseline
